20251113
id,maintype,subtype,name,cost,rarity,weight,need,tags,skill,description
075,炼制,药水,铁皮药水,2500,凡物,1,无,增益,药理,+1护甲
076,炼制,药水,生命药水,2500,凡物,1,无,增益,药理,+20%HP上限
077,炼制,药水,魔能药水,2500,凡物,1,无,增益,药理,+20%MP上限
078,炼制,药水,魔力再生药水,2500,凡物,1,无,增益,药理,+50%MP自然恢复
079,炼制,药水,夜视药水,10000,优良,1,无,灵,药理,灵视>夜
080,炼制,药水,愤怒药水,5000,凡物,1,无,增益,药理,+10%暴击率
081,炼制,药水,生命再生药水,2500,凡物,1,无,增益,药理,+20%HP自然恢复
082,炼制,药水,敏捷药水,2500,优良,1,无,增益,药理,+20%速度（CP）
083,炼制,药水,保暖药水,2500,优良,1,无,灵,药理,灵体>温暖
084,炼制,烟酒,利群,55,凡物,1,无,呼吸;烟气,药理,获得烟气I 2-7 失去3-9体力
085,炼制,烟酒,黄金叶,126,凡物,1,无,呼吸;烟气,药理,获得烟气II 2-7 失去2-9体力
086,炼制,烟酒,芙蓉王,167,凡物,1,无,呼吸;烟气,药理,获得烟气II 4-11 失去4-12体力
087,炼制,烟酒,白沙,282,凡物,1,无,呼吸;烟气,药理,获得烟气III 1-5 失去3-9体力
088,炼制,烟酒,嗅盐,2500,优良,1,无,呼吸,药理,获得呼吸II X 消耗X嗅盐 X由自己决定 一份20个 即X=20
089,炼制,烟酒,利民,34,凡物,1,无,酒精,药理,获得酒精I 2-7 失去3-9魔力
090,炼制,烟酒,红乡,98,凡物,1,无,酒精,药理,获得酒精II 2-7 失去2-9魔力
091,炼制,烟酒,蓝星,145,凡物,1,无,酒精,药理,获得酒精II 4-11 失去4-12魔力
092,炼制,烟酒,清,400,凡物,1,无,酒精,药理,获得酒精III 2-5 失去3-8魔力
093,炼制,饲料,新手鱼饵,100,凡物,1,携带,渔具,烹饪,5%渔力
094,枪械,步枪,栓步枪,26600,凡物,30,双手;弹药,多动,射击,[使用时] 选择重复1-3次;弹药3-7
095,枪械,弓弩,木弓,6000,凡物,6,双手;箭矢,蓄力,射击,箭矢2-6;蓄力：箭矢4-6 命中率+5% 箭矢命中效果触发概率+5%
096,枪械,弓弩,长弓,11000,凡物,11,双手;箭矢,蓄力,射击,[使用时] 箭矢命中效果触发概率+10%;箭矢2-8;蓄力：箭矢5-8 命中率+10% 箭矢命中效果触发概率+10%
097,枪械,弓弩,复合弓,18000,凡物,14,双手;箭矢,蓄力,射击,[使用时] 箭矢命中效果触发概率+20% 15%施加深度伤口I;箭矢2-8;蓄力：箭矢5-8 命中率+10% 箭矢命中效果触发概率+10%
098,枪械,弓弩,风弓,26000,优良,8,双手;箭矢,蓄力,射击,[使用时] 命中率+10% 箭矢命中效果触发概率+30% 20%施加深度伤口I;箭矢4-12;蓄力：箭矢8-12 命中率+10% 箭矢命中效果触发概率+20% 深度伤口施加等级+1
099,枪械,弓弩,弩,12000,凡物,20,单手;箭矢,无,射击,[使用时] 箭矢命中效果触发概率+10%;突刺1-8
100,枪械,弓弩,连弩,32000,优良,23,单手;箭矢,多动,扫射,[使用时] 选择重复1-3次 箭矢命中效果触发概率+10%;突刺1-8
101,枪械,猎枪,栓猎枪,28700,凡物,32,双手;弹药,无,射击,弹药4-11
102,枪械,手枪,燧发枪,5000,凡物,6,单手;火药,无,射击,[使用时] 命中率-5%;火药2-4
103,枪械,手枪,长管燧发枪,12000,凡物,11,双手;火药,无,射击,[使用时] 弹药效果+10%;火药2-5
104,枪械,手枪,长管枪,18000,凡物,14,双手;弹药,深度伤口,射击,弹药2-6 [命中时] 10%施加深度伤口I
105,枪械,手枪,盒子枪,18000,凡物,6,单手;弹药,多动;深度伤口,射击,[使用时] 选择重复1-3次;弹药2-6 [命中时] 10%施加深度伤口I
106,枪械,手枪,PP1,40000,优良,11,单手;弹药,多动;深度伤口,射击,[使用时] 选择重复1-3次;弹药2-6 [命中时] 弹药命中效果触发概率+10% 弹药施加效果等级II 10%施加深度伤口I
107,术器,简杖,蓝玉法杖,12500,凡物,12,单手;魔力,水;冰冻,射击,冰冻1-8 [命中时] 20%施加冰冻I 1
108,术器,简杖,黄晶法杖,18000,凡物,12,单手;魔力,电;麻痹,射击,麻痹1-8 [命中时] 20%施加过载I 1
109,术器,简杖,红石法杖,26000,凡物,12,单手;魔力,火;燃烧,射击,燃烧1-8 [命中时] 20%施加燃烧I 1
110,术器,简杖,白石法杖,16000,凡物,12,单手;魔力,风,射击,冲击1-8 [命中时] 10%造成击飞5
111,术器,权杖,黄石法杖,22000,凡物,12,单手;魔力,电;麻痹,扫射,麻痹3-10 [命中时] 20%施加麻痹I 1
112,术器,权杖,石青法杖,27900,凡物,12,单手;魔力,水;冰冻,扫射,冰冻3-10 [命中时] 20%施加结霜I 1
113,术器,权杖,石绿法杖,40000,凡物,12,单手;魔力,酸;酸蚀,扫射,酸蚀3-10 [命中时] 20%施加过酸I 1
114,原料,矿石,碳,400,凡物,3,无,燃料,采集,易燃 韧性和硬度都低 无法锻造
115,原料,金属,铜,3000,凡物,5,无,无,采集,硬度高 韧性低 [锻造时]提供物理++ 韧性-
116,原料,金属,铅,4000,凡物,10,无,无,采集,硬度高 韧性低 [锻造时]提供物理++ 魔法++ 负重+
117,原料,金属,锡,4000,凡物,3,无,无,采集,硬度低 韧性高 [锻造时]提供物理- 魔法++ 韧性+
118,原料,金属,铁,5000,凡物,5,无,无,采集,硬度中 韧性中 [锻造时]提供物理+ 韧性+
119,原料,金属,钨,5000,凡物,5,无,无,采集,硬度中 韧性中 [锻造时]提供物理+ 弹射物++ 韧性+
120,原料,金属,银,10000,优良,3,无,无,采集,硬度低 韧性高 [锻造时]提供魔法++ 神圣+ 韧性+ 亲魔+
121,原料,金属,金,20000,优良,5,无,无,采集,硬度低 韧性高 [锻造时]提供物理+ 魔法+ 神圣+ 韧性+ 亲魔+
122,原料,金属,铂,50000,精致,5,无,无,采集,硬度低 韧性高 [锻造时]提供物理+ 魔法++ 神圣+ 韧性+ 亲魔+
123,原料,钢材,黑钢,20000,精致,10,无,无,采集,硬度高 韧性中 [锻造时]提供物理+ 魔法+ 效果强化+
124,原料,木材,实木,100,凡物,5,无,无,工匠,易燃 韧性和硬度都中规中矩 无需模板锻造 使用工匠 [锻造时]提供魔法效力 自行决定词条
125,原料,布料,布,200,凡物,2,无,无,工匠,易燃 韧性极高 硬度低 无需模板锻造 使用工匠 [锻造时]提供魔法效力 自行决定词条
126,原料,布料,丝,2000,优良,0.5,无,无,工匠,易燃 韧性极高 硬度低 无需模板锻造 使用工匠 [锻造时]提供魔法效力 自行决定词条
127,原料,宝石,蓝玉,1800,凡物,1,无,水,工匠,一种具备冰属性的宝石
128,原料,宝石,黄晶,2100,凡物,1,无,电,工匠,一种具备电属性的宝石
129,原料,宝石,红石,3000,凡物,1,无,火,工匠,一种具备火属性的宝石
130,原料,宝石,白石,1800,凡物,1,无,风,工匠,一种具备风属性的宝石
131,原料,宝石,黄石,2800,凡物,1,无,电,工匠,一种具备雷属性的宝石
132,原料,宝石,石青,3300,凡物,1,无,水,工匠,一种具备霜属性的宝石
133,原料,宝石,石绿,4100,凡物,1,无,酸,工匠,一种具备酸属性的宝石
134,原料,宝石,翡翠,3600,凡物,1,无,毒,工匠,一种具备毒属性的宝石
135,原料,宝石,玛瑙,2300,优良,1,无,威力,工匠,一种悬崖边存在的宝石 具备破坏的力量
136,原料,宝石,琥珀,2700,优良,1,无,守护,工匠,一种植物内生长的宝石 具有保护的力量
137,原料,宝石,紫晶,2200,优良,1,无,存储;充能,工匠,一种深层洞穴内存在的宝石 具备存储的力量 可充能
138,原料,宝石,白晶,6600,优良,1,无,净化,工匠,一种深层洞穴内存在的宝石 具备净化的力量
139,原料,宝石,血玉,2400,优良,1,无,生命,工匠,一种血红色的宝石 具有生命的力量
140,原料,宝石,海蓝珠,2100,优良,1,无,恢复,工匠,一种海边生物中存在的宝石 具备恢复的力量
141,装备,身体,皮革大衣,4500,凡物,5,身体,无,无,物理护甲0.3 魔法护甲0.3
142,装备,身体,软木甲,7500,凡物,6,身体,无,无,物理护甲0.5 魔法护甲0.7
143,装备,身体,铁甲,12000,凡物,10,身体,无,无,物理护甲1 魔法护甲0.4 韧性1
144,装备,身体,工人服装,2500,凡物,3,身体,载荷,无,负重增加6
145,装备,身体,技师服装,5000,凡物,3,身体,载荷,无,负重增加12
146,装备,大衣,旅人风衣,9000,优良,3,大衣,高速,无,CP+5 +10%闪避率
147,装备,大衣,法袍,9000,优良,3,大衣,法术伤害,无,MP+20% 法术伤害+10%
148,装备,大衣,潜匿大衣,9000,优良,3,大衣,闪避;刺杀,无,+10%闪避率 +50%刺杀伤害
149,装备,头,安全帽,4000,凡物,2,头,无,无,物理护甲1
150,装备,头,铁头盔,9000,凡物,6,头,物理伤害,无,物理护甲1 +17%物理伤害
151,装备,头,护目镜,6000,凡物,1,头,命中,无,+7%射击命中率
152,装备,头,兜帽,6000,凡物,1,头,法术伤害,无,法术护甲1 +17%法术伤害
153,装备,背,布包,2500,凡物,1,背,载荷,无,负重增加4
154,装备,背,肩包,8000,凡物,0.5,背,载荷;便利,无,负重增加6 快捷栏1
155,装备,背,书包,6000,凡物,3,背,载荷,无,负重增加10
156,装备,背,背包,12000,凡物,4,背,载荷,无,负重增加16
157,装备,背,工包,24000,优良,7,背,载荷,无,负重增加24
158,装备,背,医药包,40000,优良,8,背,载荷;便利,无,负重增加32 快捷栏2
159,装备,饰品,红心吊坠,7000,凡物,1,饰品,生命,无,HP+20%
160,装备,饰品,蓝星吊坠,7000,凡物,1,饰品,魔力,无,MP+20%
161,装备,饰品,破旧电池组,3000,凡物,3,饰品,充能,无,战斗开始时 获得3充能;受到伤害时 额外受到1-6麻痹伤害 获得1充能
162,装备,饰品,充电器,3500,凡物,2,饰品,充能,无,每轮开始时 获得1充能
163,装备,饰品,5号电池,3000,凡物,1,饰品,充能,无,战斗开始时 获得4充能
164,装备,饰品,手摇发电机,7800,凡物,19,饰品,充能,无,发电>获得1充能 奖励行动
165,装备,饰品,香囊,6500,优良,1,饰品,呼吸,无,延续呼吸I;获得呼吸时 使呼吸等级+1 上限为3
166,装备,饰品,烟枪,12000,优良,8,饰品,烟气,无,使用烟类物品损失的体力减少75%;延续烟气I;获得烟气时 使烟气等级+1 上限为5
